Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[genotype]	Characteristics[infect]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[phenotype]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[cell type]	Factor Value[phenotype]
Egr2/3_DKO_CD4_1	ERS1472463	SAMEA25761418	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD4-positive T cell	  	cell	P-MTAB-53176	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD4_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD4_1	sequencing assay	ERX1822231	UCLGNS1136-7_S7_R1_001.fastq.gz	UCLGNS1136-7_S7_R1_001.fastq.gz	ERR1755082	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1755082/ERR1755082_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD4-positive T cell	    
Egr2/3_DKO_CD4_1	ERS1472463	SAMEA25761418	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD4-positive T cell	  	cell	P-MTAB-53176	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD4_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD4_1	sequencing assay	ERX1822231	UCLGNS1136-7_S7_R2_001.fastq.gz	UCLGNS1136-7_S7_R2_001.fastq.gz	ERR1755082	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/002/ERR1755082/ERR1755082_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD4-positive T cell	    
Egr2/3_DKO_CD4_2	ERS1472464	SAMEA25762168	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD4-positive T cell	  	cell	P-MTAB-53176	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD4_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD4_2	sequencing assay	ERX1822232	UCLGNS1136-8_S8_R1_001.fastq.gz	UCLGNS1136-8_S8_R1_001.fastq.gz	ERR1755083	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1755083/ERR1755083_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD4-positive T cell	    
Egr2/3_DKO_CD4_2	ERS1472464	SAMEA25762168	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD4-positive T cell	  	cell	P-MTAB-53176	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD4_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD4_2	sequencing assay	ERX1822232	UCLGNS1136-8_S8_R2_001.fastq.gz	UCLGNS1136-8_S8_R2_001.fastq.gz	ERR1755083	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/003/ERR1755083/ERR1755083_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD4-positive T cell	    
Egr2/3_DKO_CD4_3	ERS1472465	SAMEA25762918	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD4-positive T cell	  	cell	P-MTAB-53176	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD4_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD4_3	sequencing assay	ERX1822233	UCLGNS1136-9_S9_R1_001.fastq.gz	UCLGNS1136-9_S9_R1_001.fastq.gz	ERR1755084	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/004/ERR1755084/ERR1755084_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD4-positive T cell	    
Egr2/3_DKO_CD4_3	ERS1472465	SAMEA25762918	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD4-positive T cell	  	cell	P-MTAB-53176	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD4_3	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD4_3	sequencing assay	ERX1822233	UCLGNS1136-9_S9_R2_001.fastq.gz	UCLGNS1136-9_S9_R2_001.fastq.gz	ERR1755084	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/004/ERR1755084/ERR1755084_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD4-positive T cell	    
Egr2/3_DKO_CD8_1	ERS1472466	SAMEA25763668	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD8-positive T cell	  	cell	P-MTAB-53177	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD8_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD8_1	sequencing assay	ERX1822234	UCLGNS1136-10_S10_R1_001.fastq.gz	UCLGNS1136-10_S10_R1_001.fastq.gz	ERR1755085	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/005/ERR1755085/ERR1755085_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD8-positive T cell	    
Egr2/3_DKO_CD8_1	ERS1472466	SAMEA25763668	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD8-positive T cell	  	cell	P-MTAB-53177	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD8_1	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD8_1	sequencing assay	ERX1822234	UCLGNS1136-10_S10_R2_001.fastq.gz	UCLGNS1136-10_S10_R2_001.fastq.gz	ERR1755085	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/005/ERR1755085/ERR1755085_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD8-positive T cell	    
Egr2/3_DKO_CD8_2	ERS1472467	SAMEA25764418	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD8-positive T cell	  	cell	P-MTAB-53177	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD8_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD8_2	sequencing assay	ERX1822235	UCLGNS1136-11_S11_R1_001.fastq.gz	UCLGNS1136-11_S11_R1_001.fastq.gz	ERR1755086	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/006/ERR1755086/ERR1755086_1.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD8-positive T cell	    
Egr2/3_DKO_CD8_2	ERS1472467	SAMEA25764418	Mus musculus	hCD2-Cre / Egr2loxP/loxP / Egr3-/-	vaccinia virus	lymph node and spleen	CD8-positive T cell	  	cell	P-MTAB-53177	P-MTAB-53175	P-MTAB-53180	P-MTAB-53181	UCL Genomics	Egr2/3_DKO_CD8_2	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	RNA-Seq	150	50	5'-3'-3'-5'	P-MTAB-53182	UCL Genomics	Egr2/3_DKO_CD8_2	sequencing assay	ERX1822235	UCLGNS1136-11_S11_R2_001.fastq.gz	UCLGNS1136-11_S11_R2_001.fastq.gz	ERR1755086	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR175/006/ERR1755086/ERR1755086_2.fastq.gz	70	36	P-MTAB-53183	P-MTAB-53184	symonds_counts_UCSC_refGene_mm10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5338/E-MTAB-5338.processed.1.zip	Egr2 and Egr3 knockout	CD8-positive T cell	    
