""	"Egr2/3_DKO_CD8_1"	"Egr2/3_DKO_CD8_2"	"Egr2/3_DKO_CD8_3"	"Egr2_Kin_CD4_1"	"Egr2_Kin_CD4_2"	"Egr2_Kin_CD4_3"	"Egr2_Kin_CD8_1"	"Egr2_Kin_CD8_2"	"Egr2_Kin_CD8_3"	"Egr2/3_DKO_CD4_1"	"Egr2/3_DKO_CD4_2"	"Egr2/3_DKO_CD4_3"
"100009600"	1	2	2	5	11	15	8	10	5	12	6	5
"100009609"	0	0	0	0	0	0	0	0	0	0	0	0
"100009614"	0	0	0	0	0	0	0	0	1	0	0	0
"100009664"	1	0	1	0	0	0	0	0	0	0	0	0
"100012"	0	0	0	0	0	0	0	0	0	0	0	0
"100017"	854	737	818	1564	1558	1366	1433	1346	1525	1285	1500	1306
"100019"	2038	1757	1735	7013	5209	5662	5193	5005	5762	4789	4784	4791
"100033459"	6853	5654	5888	3304	2939	2701	4780	4442	5136	4199	4653	4690
"100034251"	12	13	4	1	5	3	2	2	6	7	5	10
"100034361"	1791	1464	1555	1691	1726	1356	1261	1160	1303	1675	1545	1806
"100034363"	0	0	0	6	5	3	3	4	11	3	0	0
"100034684"	0	0	1	0	0	0	0	0	0	0	0	0
"100034726"	0	0	0	0	0	0	0	0	0	0	0	0
"100034729"	0	0	0	0	0	0	0	0	0	0	0	0
"100034739"	2	1	2	6	6	1	7	3	5	2	1	3
"100036518"	0	0	0	0	0	0	0	0	0	0	0	0
"100036520"	3	3	3	7	6	5	2	0	3	8	5	2
"100036521"	327	265	297	232	237	172	203	212	234	282	285	337
"100036523"	5	7	6	9	4	9	6	11	17	9	14	10
"100036537"	0	0	0	0	0	0	0	0	0	0	0	0
"100036768"	92	101	92	162	124	112	126	113	119	110	157	142
"100037258"	4230	3523	3680	4558	4776	3848	3716	3455	3980	4121	4182	4249
"100037260"	1	2	1	1	3	0	4	4	2	2	0	2
"100037262"	14	19	22	40	30	34	34	31	39	31	34	22
"100037278"	193	157	152	114	112	70	175	162	210	100	130	106
"100037282"	280	249	258	456	509	394	307	327	353	298	379	369
"100037283"	0	0	0	0	0	0	0	0	0	0	0	0
"100037396"	0	2	3	0	3	3	1	2	2	2	7	1
"100038347"	557	497	477	77	67	55	232	227	247	140	176	140
"100038353"	2	0	0	1	0	0	0	0	0	1	0	1
"100038356"	0	1	0	0	1	0	0	0	0	2	4	1
"100038358"	1	3	1	2	0	1	4	2	4	1	6	2
"100038363"	25	21	13	0	0	1	27	21	25	5	3	3
"100038371"	2	0	2	0	1	0	0	0	0	3	1	1
"100038374"	0	0	1	0	1	2	0	2	0	0	1	1
"100038378"	38	24	41	35	31	24	29	29	27	29	39	42
"100038392"	214	201	183	279	218	219	191	171	183	285	223	255
"100038394"	0	0	0	0	0	0	0	0	0	0	0	0
"100038410"	0	1	0	0	1	0	0	1	0	0	0	0
"100038417"	0	1	0	2	0	0	1	3	0	0	0	0
"100038439"	0	0	0	0	1	0	1	1	1	1	0	0
"100038453"	1	2	2	2	0	1	4	1	1	1	2	1
"100038454"	3	1	0	3	2	0	4	1	4	3	3	3
"100038460"	2	0	0	0	0	0	4	4	13	0	1	1
"100038464"	78	67	62	61	67	51	67	59	65	91	76	81
"100038468"	12	11	19	0	2	0	6	6	3	3	6	3
"100038479"	0	0	0	0	0	0	0	0	0	0	0	0
"100038481"	0	0	0	0	0	0	0	0	0	0	0	0
