ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007204	GO:0007204	positive regulation of cytosolic calcium ion concentration	11/254	200/28928	0.055	6.26393700787402	7.03068112380204	1.73615125449575e-06	0.000583609401826514	0.000461405157840506	12145/12289/12458/12504/12773/12776/16183/18439/19217/19222/225192	11
GO:0002377	GO:0002377	immunoglobulin production	10/254	143/28928	0.0699300699300699	7.96431914542151	7.85756499941016	5.8615119277397e-07	0.000583609401826514	0.000461405157840506	11628/12053/12458/16153/16183/20371/21947/22163/22164/60505	10
GO:0032946	GO:0032946	positive regulation of mononuclear cell proliferation	10/254	159/28928	0.0628930817610063	7.16287822512752	7.33405531379162	1.54797974552233e-06	0.000583609401826514	0.000461405157840506	12053/12504/12977/16183/20371/21947/22163/22164/58205/60505	10
GO:0070665	GO:0070665	positive regulation of leukocyte proliferation	10/254	175/28928	0.0571428571428571	6.50798650168729	6.87851557665363	3.67014128466891e-06	0.000856193663078217	0.000676911939763576	12053/12504/12977/16183/20371/21947/22163/22164/58205/60505	10
GO:0042129	GO:0042129	regulation of T cell proliferation	10/254	200/28928	0.05	5.69448818897638	6.27010723091423	1.19137554096836e-05	0.00171387881393592	0.0013550030588758	12053/12504/16183/20371/21947/22164/434215/58205/59009/60505	10
GO:0002312	GO:0002312	B cell activation involved in immune response	9/254	123/28928	0.0731707317073171	8.33339734972153	7.67093404806873	1.48353429537742e-06	0.000583609401826514	0.000461405157840506	11628/12053/12458/16153/16183/20371/21947/22164/60505	9
GO:0002718	GO:0002718	regulation of cytokine production involved in immune response	9/254	134/28928	0.0671641791044776	7.64931249265484	7.261102347461	3.02467408714607e-06	0.000830685492478933	0.000656745024280806	12053/12363/16153/16177/18439/20371/21809/22164/60505	9
GO:0050671	GO:0050671	positive regulation of lymphocyte proliferation	9/254	156/28928	0.0576923076923077	6.57056329497274	6.56599884862336	1.04565702376208e-05	0.00171387881393592	0.0013550030588758	12053/12504/16183/20371/21947/22163/22164/58205/60505	9
GO:0002367	GO:0002367	cytokine production involved in immune response	9/254	158/28928	0.0569620253164557	6.48739160769461	6.50952025836869	1.15851877566718e-05	0.00171387881393592	0.0013550030588758	12053/12363/16153/16177/18439/20371/21809/22164/60505	9
GO:0022612	GO:0022612	gland morphogenesis	9/254	163/28928	0.0552147239263804	6.28839186512729	6.37249725665285	1.48710301674681e-05	0.00190601092701641	0.00150690388104331	11839/12162/12977/16001/18208/18612/21809/22337/66042	9
GO:0030879	GO:0030879	mammary gland development	9/254	178/28928	0.050561797752809	5.75847120233566	5.99353350768426	2.98796898744395e-05	0.00291182397131231	0.00230210581749077	11839/12977/16001/18208/18612/21809/21943/22337/66042	9
GO:0001890	GO:0001890	placenta development	9/254	199/28928	0.0452261306532663	5.15079333676255	5.52995771017452	7.10767914824129e-05	0.00511245207305641	0.00404193583643095	12162/12606/14619/15213/16153/16878/19016/20856/22337	9
GO:0002637	GO:0002637	regulation of immunoglobulin production	8/254	89/28928	0.0898876404494382	10.2372821374856	8.21435615852231	1.21026764589483e-06	0.000583609401826514	0.000461405157840506	12053/16153/16183/20371/21947/22163/22164/60505	8
GO:0032649	GO:0032649	regulation of type II interferon production	8/254	132/28928	0.0606060606060606	6.90240992603197	6.39697520012645	2.282277630613e-05	0.00229825357402729	0.0018170133136354	16153/16177/16183/20371/21947/22164/58205/60505	8
GO:0032609	GO:0032609	type II interferon production	8/254	145/28928	0.0551724137931034	6.2835731740429	6.00299683559597	4.47558281359438e-05	0.00388032892015559	0.00306781174579105	16153/16177/16183/20371/21947/22164/58205/60505	8
GO:0050864	GO:0050864	regulation of B cell activation	8/254	148/28928	0.0540540540540541	6.15620344754203	5.9188852924821	5.17573243420439e-05	0.00420497152092782	0.00332447616891766	12053/16153/16183/20371/21947/22163/22164/60505	8
GO:0002702	GO:0002702	positive regulation of production of molecular mediator of immune response	8/254	149/28928	0.0536912751677852	6.11488664588067	5.89136206221468	5.42846373108855e-05	0.00420497152092782	0.00332447616891766	12363/16153/16177/16183/18439/22163/22164/60505	8
GO:0050680	GO:0050680	negative regulation of epithelial cell proliferation	8/254	170/28928	0.0470588235294118	5.35951829550718	5.3654733396104	0.000136380198058329	0.0083862653766251	0.00663023263107802	13642/18612/19016/21809/22337/235505/69601/75745	8
GO:0001837	GO:0001837	epithelial to mesenchymal transition	8/254	172/28928	0.0465116279069767	5.29719831532686	5.3199775357253	0.0001478199885485	0.00875616049813764	0.00692267397350975	102693/12162/15213/21809/21844/24063/69601/75745	8
GO:0030856	GO:0030856	regulation of epithelial cell differentiation	8/254	177/28928	0.0451977401129944	5.1475599448374	5.20927450196995	0.000179918147414904	0.0095242251763347	0.00752991059952384	12162/15213/16878/18612/195733/22337/235505/24063	8
GO:0051017	GO:0051017	actin filament bundle assembly	8/254	177/28928	0.0451977401129944	5.1475599448374	5.20927450196995	0.000179918147414904	0.0095242251763347	0.00752991059952384	104027/16419/17912/18645/21809/229474/235431/56226	8
GO:0050770	GO:0050770	regulation of axonogenesis	8/254	178/28928	0.0449438202247191	5.11864106874281	5.18763531436693	0.000186978780710926	0.0095242251763347	0.00752991059952384	17756/18208/18213/18846/21844/235611/24001/65086	8
GO:0061572	GO:0061572	actin filament bundle organization	8/254	180/28928	0.0444444444444444	5.06176727909011	5.14484016171205	0.000201784001402509	0.00967602330534887	0.00764992312752368	104027/16419/17912/18645/21809/229474/235431/56226	8
GO:0031214	GO:0031214	biomineral tissue development	8/254	191/28928	0.0418848167539267	4.77025188605351	4.92029057202001	0.000301444721793707	0.0115273987916302	0.00911363189540201	12162/14758/15213/18439/20750/208659/22337/94249	8
GO:0050714	GO:0050714	positive regulation of protein secretion	8/254	193/28928	0.0414507772020725	4.72081922402187	4.88130606898612	0.00032327927344909	0.0119100815254841	0.00941618320225911	12289/18439/18548/19016/21809/22138/268860/320051	8
GO:0006643	GO:0006643	membrane lipid metabolic process	8/254	199/28928	0.0402010050251256	4.57848296601116	4.7674884927073	0.000396647254386278	0.012884638231193	0.0101866736865021	109232/17761/18439/20444/20447/241230/320910/54447	8
