ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007265	GO:0007265	Ras protein signal transduction	5/99	118/28928	0.0423728813559322	12.3814415339839	7.25974142313222	5.46277243737156e-05	0.033461070494307	0.0257980919858073	19418/21858/268480/70727/71709	5
GO:0003231	GO:0003231	cardiac ventricle development	5/99	156/28928	0.032051282051282	9.36544936544936	6.13933107600812	0.00020339640177782	0.033461070494307	0.0257980919858073	13805/15213/20677/21814/381157	5
GO:0061383	GO:0061383	trabecula morphogenesis	4/99	55/28928	0.0727272727272727	21.2510560146924	8.80922231535853	3.84937524787032e-05	0.033461070494307	0.0257980919858073	12842/13805/15213/21814	4
GO:0035904	GO:0035904	aorta development	4/99	77/28928	0.051948051948052	15.1793257247803	7.30087667324031	0.000144192524010295	0.033461070494307	0.0257980919858073	13654/13805/15213/20677	4
GO:0003208	GO:0003208	cardiac ventricle morphogenesis	4/99	84/28928	0.0476190476190476	13.9143819143819	6.94608400280272	0.00020186184924198	0.033461070494307	0.0257980919858073	13805/15213/20677/21814	4
GO:0060411	GO:0060411	cardiac septum morphogenesis	4/99	85/28928	0.0470588235294118	13.7506833036245	6.89885811181661	0.000211277477469973	0.033461070494307	0.0257980919858073	13805/15213/20677/21814	4
GO:0001570	GO:0001570	vasculogenesis	4/99	101/28928	0.0396039603960396	11.5723572357236	6.2371659339716	0.000408601637851357	0.0431415229298058	0.0332616070110579	13805/15213/21667/21814	4
GO:0001892	GO:0001892	embryonic placenta development	4/99	119/28928	0.0336134453781513	9.82191664544606	5.65102000744841	0.000758241403000969	0.0532403710935563	0.0410477002241684	12606/15213/213742/71709	4
GO:0060840	GO:0060840	artery development	4/99	126/28928	0.0317460317460317	9.27625460958794	5.4558484517798	0.00093847858460756	0.0532403710935563	0.0410477002241684	13654/13805/15213/20677	4
GO:0032963	GO:0032963	collagen metabolic process	4/99	127/28928	0.031496062992126	9.2032132347093	5.42920929166943	0.000966478717562585	0.0532403710935563	0.0410477002241684	12842/13805/17388/21814	4
GO:0003279	GO:0003279	cardiac septum development	4/99	130/28928	0.0307692307692308	8.99083139083139	5.35102506763826	0.00105400255222065	0.0534168493465425	0.0411837628825584	13805/15213/20677/21814	4
GO:2000647	GO:2000647	negative regulation of stem cell proliferation	3/99	28/28928	0.107142857142857	31.3073593073593	9.4022695591408	0.000119688465880996	0.033461070494307	0.0257980919858073	12606/14114/54139	3
GO:0060317	GO:0060317	cardiac epithelial to mesenchymal transition	3/99	33/28928	0.0909090909090909	26.5638200183655	8.61045056749377	0.000196875340700714	0.033461070494307	0.0257980919858073	13805/15213/21814	3
GO:0061384	GO:0061384	heart trabecula morphogenesis	3/99	36/28928	0.0833333333333333	24.3501683501683	8.21498868139844	0.00025573027822948	0.0360011402796391	0.0277564559294687	13805/15213/21814	3
GO:0035909	GO:0035909	aorta morphogenesis	3/99	39/28928	0.0769230769230769	22.4770784770785	7.86494625340202	0.000324900951817301	0.0374226823593201	0.0288524481613833	13805/15213/20677	3
GO:0048483	GO:0048483	autonomic nervous system development	3/99	50/28928	0.06	17.5321212121212	6.85621665883489	0.000678064474508342	0.0532403710935563	0.0410477002241684	13654/18846/20677	3
GO:0060412	GO:0060412	ventricular septum morphogenesis	3/99	53/28928	0.0566037735849057	16.5397369925672	6.63552223110126	0.00080442942909501	0.0532403710935563	0.0410477002241684	15213/20677/21814	3
GO:0055010	GO:0055010	ventricular cardiac muscle tissue morphogenesis	3/99	56/28928	0.0535714285714286	15.6536796536797	6.43215909913838	0.000944842318333287	0.0532403710935563	0.0410477002241684	13805/15213/21814	3
GO:0046578	GO:0046578	regulation of Ras protein signal transduction	3/99	58/28928	0.0517241379310345	15.1138975966562	6.30510136464857	0.00104654374488673	0.0534168493465425	0.0411837628825584	21858/70727/71709	3
GO:0072132	GO:0072132	mesenchyme morphogenesis	3/99	60/28928	0.05	14.610101010101	6.18419437374562	0.00115491505739382	0.0554913214078738	0.0427831564545399	11468/13805/15213	3
GO:0035912	GO:0035912	dorsal aorta morphogenesis	2/99	8/28928	0.25	73.0505050505051	11.9436587016435	0.000320309089864102	0.0374226823593201	0.0288524481613833	13805/15213	2
GO:0021612	GO:0021612	facial nerve structural organization	2/99	10/28928	0.2	58.440404040404	10.6460344068599	0.000512487154696123	0.0463800874999991	0.0357585022224061	13654/18846	2
GO:0035907	GO:0035907	dorsal aorta development	2/99	10/28928	0.2	58.440404040404	10.6460344068599	0.000512487154696123	0.0463800874999991	0.0357585022224061	13805/15213	2
GO:0021561	GO:0021561	facial nerve development	2/99	12/28928	0.166666666666667	48.7003367003367	9.68495184294929	0.000748298092932892	0.0532403710935563	0.0410477002241684	13654/18846	2
GO:0021610	GO:0021610	facial nerve morphogenesis	2/99	12/28928	0.166666666666667	48.7003367003367	9.68495184294929	0.000748298092932892	0.0532403710935563	0.0410477002241684	13654/18846	2
GO:0021604	GO:0021604	cranial nerve structural organization	2/99	13/28928	0.153846153846154	44.954156954157	9.28890536881725	0.000882380282054652	0.0532403710935563	0.0410477002241684	13654/18846	2
GO:0003198	GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	2/99	15/28928	0.133333333333333	38.9602693602694	8.61753077215285	0.00118253013260662	0.0554913214078738	0.0427831564545399	13805/15213	2
